Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date,Location
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.01,,01-01-2017,12/31/2017,"2505 U S HIGHWAY 431 NORTH BOAZ, AL 35957"
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.06,,01-01-2017,12/31/2017,"200 MED CENTER DRIVE FORT PAYNE, AL 35968"
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.98,,01-01-2017,12/31/2017,"ONE HOSPITAL DR SE HUNTSVILLE, AL 35801"
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.82,,01-01-2017,12/31/2017,"PO BOX 287 BETHEL, AK 99559"
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.7,,01-01-2017,12/31/2017,"PO BOX 649 FORT DEFIANCE, AZ 86504"
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.85,,01-01-2017,12/31/2017,"PO BOX 600 TUBA CITY, AZ 86045"
30074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.78,,01-01-2017,12/31/2017,"HIGHWAY 86, AT TOPAWA ROAD SELLS, AZ 85634"
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.87,,01-01-2017,12/31/2017,"103 MEDICINE WAY ROAD PERIDOT, AZ 85542"
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.74,,01-01-2017,12/31/2017,"US HWY 191, HOSPITAL ROAD CHINLE, AZ 86503"
40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,5015523000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.02,,01-01-2017,12/31/2017,"TWO ST VINCENT CIRCLE LITTLE ROCK, AR 72205"
40018,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,CRAWFORD,4794743401,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.99,,01-01-2017,12/31/2017,"EAST MAIN AND SOUTH 20TH STREET VAN BUREN, AR 72956"
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,8708361000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.03,,01-01-2017,12/31/2017,"638 CALIFORNIA AVENUE CAMDEN, AR 71701"
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,72032,FAULKNER,5015852000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.94,,01-01-2017,12/31/2017,"1555 EXCHANGE AVENUE CONWAY, AR 72032"
50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.08,,01-01-2017,12/31/2017,"600 NORTH HIGHLAND SPRINGS AVENUE BANNING, CA 92220"
50103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.01,,01-01-2017,12/31/2017,"1720 E CESAR AVENUE LOS ANGELES, CA 90033"
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,8316245311,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.94,,01-01-2017,12/31/2017,"23625 W R HOLMAN HIGHWAY MONTEREY, CA 93940"
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.96,,01-01-2017,12/31/2017,"ONE HOAG DRIVE NEWPORT BEACH, CA 92663"
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.97,,01-01-2017,12/31/2017,"2175 ROSALINE AVE, CLAIRMONT HGTS REDDING, CA 96001"
50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.93,,01-01-2017,12/31/2017,"ONE MEDICAL PLAZA ROSEVILLE, CA 95661"
50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.04,,01-01-2017,12/31/2017,"20103 LAKE CHABOT ROAD CASTRO VALLEY, CA 94546"
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,9493641400,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.96,,01-01-2017,12/31/2017,"27700 MEDICAL CENTER RD MISSION VIEJO, CA 92691"
50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,RIVERSIDE,9516798888,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.1,,01-01-2017,12/31/2017,"28400 MCCALL B0ULEVARD SUN CITY, CA 92585"
